filename,optimal,optimizerOnly,topDown,bottomUp,euclidean,horizontal,hop,topDownPlus,bottomUpPlus,euclideanPlus,horizontalPlus,hopPlus
coast-n10-r4-s-3342383633144681140.json,8,8,11,8,9,10,9,9,8,9,9,9
coast-n10-r5-s6836568506072080118.json,8,8,14,9,9,9,9,8,8,8,8,8
coast-n10-r6-s-2651111998922877327.json,6,6,8,6,6,6,6,6,6,6,6,6
coast-n10-r7-s-5257604778215879520.json,9,10,15,9,9,10,12,10,9,9,9,10
coast-n10-r8-s5298954437391079618.json,9,9,25,11,11,13,11,9,9,9,9,9
coast-n10-r9-s-1544970817896810324.json,2,2,4,2,2,2,2,2,2,2,2,2
coast-n100-r0-s-5128016860359238732.json,1093,1093,1193,1093,1097,1160,1149,1093,1093,1093,1093,1093
coast-n100-r1-s3596673253889729385.json,1207,1207,1516,1207,1213,1265,1258,1207,1207,1207,1207,1207
coast-n100-r2-s-6139822020582680716.json,1736,1736,2159,1736,1766,1823,1866,1736,1736,1736,1736,1736
coast-n100-r3-s-4087044595004343727.json,951,951,998,951,963,1030,994,951,951,951,951,951
coast-n100-r4-s-7035447845658785470.json,669,669,821,669,676,723,703,669,669,669,669,669
coast-n100-r5-s-6952633147197490662.json,1045,1045,1143,1045,1070,1115,1113,1045,1045,1045,1045,1045
coast-n100-r6-s4367296745435792467.json,1103,1103,1209,1105,1133,1167,1163,1103,1103,1103,1103,1103
coast-n100-r7-s8987754666945962503.json,1233,1234,1321,1234,1254,1277,1276,1234,1234,1233,1234,1234
coast-n100-r8-s-5895171329898275699.json,1369,1369,1452,1370,1385,1439,1421,1369,1369,1369,1369,1369
coast-n100-r9-s-8770588431429725762.json,1411,1411,1490,1411,1427,1453,1453,1411,1411,1411,1411,1411
coast-n15-r0-s-4980945789649841896.json,10,10,28,10,10,11,11,10,10,10,10,10
coast-n15-r1-s1946588598930985430.json,22,22,29,22,22,26,26,22,22,22,22,22
coast-n15-r2-s-1647495873705373680.json,18,18,22,19,19,21,22,18,18,18,18,18
coast-n15-r3-s2868790416052145765.json,19,19,23,19,19,22,22,19,19,19,19,19
coast-n15-r4-s-6089968677426900432.json,18,18,30,18,18,18,18,18,18,18,18,18
coast-n15-r5-s-4886449326399715878.json,23,23,28,23,23,28,28,23,23,23,23,23
coast-n15-r6-s-4632695887653498523.json,10,10,12,10,11,10,10,10,10,10,10,10
coast-n15-r7-s9040822222679173724.json,35,35,44,35,44,42,43,35,35,35,35,35
coast-n15-r8-s-6874753323234909047.json,37,37,42,37,37,41,40,37,37,37,37,37
coast-n15-r9-s-1929312183105933540.json,16,16,18,16,16,16,19,16,16,16,16,16
coast-n20-r0-s-4942938662781205063.json,39,39,43,39,39,42,41,39,39,39,39,39
coast-n20-r1-s3800096882043324115.json,52,52,65,52,52,54,61,52,52,52,52,52
coast-n20-r2-s-3802826258271402066.json,39,39,45,39,39,45,45,39,39,39,39,39
coast-n20-r3-s3008231453656586950.json,36,36,74,36,36,38,38,36,36,36,36,36
coast-n20-r4-s2859573706375437232.json,35,35,39,35,37,38,38,35,35,35,35,35
coast-n20-r5-s4767246935516549877.json,32,33,39,33,33,36,34,32,32,32,33,33
coast-n20-r6-s8171938801505373957.json,48,48,55,48,49,55,55,50,48,48,48,50
coast-n20-r7-s-8770407399242165048.json,31,31,39,31,31,32,32,31,31,31,31,31
coast-n20-r8-s1162767774550876561.json,40,40,43,40,40,42,43,40,40,40,40,40
coast-n20-r9-s-161341909156920964.json,36,36,51,36,36,41,42,36,36,36,36,36
coast-n25-r0-s-4951201078864625704.json,82,82,108,82,85,91,91,82,82,82,82,82
coast-n25-r1-s991063248279810805.json,55,55,76,55,56,56,58,55,55,55,55,55
coast-n25-r2-s-6542405578046540995.json,82,82,96,83,84,87,88,82,82,82,82,82
coast-n25-r3-s1373853485538246410.json,61,61,69,61,65,68,66,61,61,61,61,61
coast-n25-r4-s111988666388185236.json,71,74,81,72,74,85,82,71,71,74,74,74
coast-n25-r5-s-6955770901250213415.json,53,53,55,53,56,59,63,53,53,53,53,53
coast-n25-r6-s6190354912774752760.json,79,80,89,81,82,89,92,79,79,80,79,79
coast-n25-r7-s5528019601652888196.json,49,49,53,49,50,54,55,49,49,49,49,49
coast-n25-r8-s7435804087634439511.json,47,47,63,47,47,59,58,47,47,47,47,47
coast-n25-r9-s-545683274366044179.json,39,40,47,40,44,49,47,39,39,39,39,39
coast-n30-r0-s-4952853562081309832.json,105,109,119,105,107,116,114,105,105,105,105,105
coast-n30-r1-s4118605333692038088.json,125,125,149,125,128,143,146,125,125,125,125,125
coast-n30-r2-s3977725003942149108.json,59,59,86,59,59,61,61,59,59,59,59,59
coast-n30-r3-s-2642370924545318939.json,100,100,108,101,107,111,112,100,100,100,100,100
coast-n30-r4-s6941169284438581647.json,68,68,81,68,69,73,72,68,68,68,68,68
coast-n30-r5-s5457020789505081760.json,85,85,97,87,88,91,96,85,85,85,85,85
coast-n30-r6-s-1584659488442237911.json,76,76,111,76,76,86,80,76,76,76,76,76
coast-n30-r7-s4698356184513008144.json,109,109,131,112,116,115,115,109,109,109,109,109
coast-n30-r8-s8690411351969139020.json,69,69,76,69,70,73,72,69,69,69,69,69
coast-n30-r9-s-622551548266862281.json,100,100,129,100,100,118,116,100,100,100,100,100
